description,name,status,resource,sponsor,startdate,enddate,githuburl,svnurl,languages,main_language,cloc_language,comments,resolution/_tlp,mentors/mentor/0/_username,mentors/mentor/0/__text,mentors/mentor/1/_username,mentors/mentor/1/__text,mentors/mentor/2/_username,mentors/mentor/2/__text,reporting/_group,champion/_availid,champion/__text,mentors/mentor/3/_username,mentors/mentor/3/__text,resolution/_link,resolution/_url,resolution/__text,_resourceAliases,resolution,mentors/mentor/4/_username,mentors/mentor/4/__text,mentors/mentor/5/_username,mentors/mentor/5/__text,mentors/mentor/6/_username,mentors/mentor/6/__text,mentors/mentor/7/_username,mentors/mentor/7/__text,mentors/mentor/8/_username,mentors/mentor/8/__text,mentors/mentor/9/_username,mentors/mentor/9/__text,reporting/__text,graduating,changes/change/_resource,changes/change/_enddate,changes/change/__text,__text,reporting/_monthly,_longname
CloudStack is an IaaS (“Infrastracture as a Service”) cloud orchestration platform.,CloudStack,graduated,cloudstack,Incubator,2012-04-16,2013-03-20,https://github.com/apache/CloudStack,,"{""Java"": 39469606, ""Python"": 13122322, ""C#"": 2356211, ""Vue"": 2080244, ""JavaScript"": 1003369, ""Shell"": 750751, ""Groovy"": 146420, ""XSLT"": 57859, ""HTML"": 53471, ""CSS"": 42591, ""Less"": 28357, ""Ruby"": 22732, ""Batchfile"": 9979, ""FreeMarker"": 4887, ""Dockerfile"": 4187, ""Makefile"": 871}",Java,Java,,true,jim,Jim Jagielski,dkulp,J. Daniel Kulp,akarasulu,Alex Karasulu,,jim,Jim Jagielski,olamy,Olivier Lamy,,,,,,brett,Brett Porter,hogstrom,Matt Hogstrom,mnour,Mohammad Nour El-Din,,,,,,,,,,,,,,
Commons RDF is a set of interfaces and classes for RDF 1.1 concepts and behaviours.  The commons-rdf-api module defines interfaces and testing harness.  The commons-rdf-simple module provides a basic reference implementation to exercise the test harness and clarify API contracts.,CommonsRDF,graduated,commonsrdf,Incubator,2015-03-06,2016-11-28,https://github.com/apache/incubator-CommonsRDF,,"{""Java"": 733929}",Java,Java,,,johndament,John D Ament,ggregory,Gary Gregory,,,,lewismc,Lewis John McGibbney,,,Commons RDF,https://commons.apache.org/rdf,,,,,,,,,,,,,,,,,,,,,,,
Embeddable IoC container,Composer,retired,composer,Incubator,2007-10-30,2008-05-13,,,,,,Cannot find this one,,jvanzyl,Jason Van Zyl,proyal,Peter Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corinthia is a toolkit/application for converting between and editing common office file formats, with an initial focus on word processing. It is designed to cater for multiple classes of platforms - desktop, web, and mobile - and relies heavily on web technologies such as HTML, CSS, and JavaScript for representing and manipulating documents. The toolkit is small, portable, and flexible, with minimal dependencies. The target audience is developers wishing to include office viewing, conversion, and editing functionality into their applications.",Corinthia,retired,corinthia,Incubator,2014-12-08,2015-11-19,https://github.com/apache/incubator-retired-Corinthia,,"{""HTML"": 2330985, ""C"": 1472597, ""JavaScript"": 846018, ""Objective-C"": 424956, ""C++"": 192881, ""CSS"": 66484, ""CMake"": 37626, ""Shell"": 8992, ""Python"": 5255, ""Makefile"": 1393, ""Perl"": 677}",HTML,HTML,,,humbedooh,Daniel Gruno,jani,Jan Iversen,wave,Dave Fisher,,jani,Jan Iversen,,,,,,,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
CouchDB,CouchDB,graduated,couchdb,Incubator,2008-02-12,2008-11-19,https://github.com/apache/CouchDB,,"{""Erlang"": 3035475, ""Elixir"": 627350, ""JavaScript"": 427252, ""Python"": 224198, ""C"": 57957, ""C++"": 53721, ""Shell"": 34572, ""Groovy"": 29055, ""Ruby"": 23957, ""Makefile"": 17289, ""PowerShell"": 9490, ""Dockerfile"": 1545, ""Batchfile"": 743}",Erlang,Erlang,,true,twl,Ted Leung,gianugo,Gianugo Rabellino,jim,Jim Jagielski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton is an Apache Mesos framework for running MySQL instances. (Formerly known as Mysos),Cotton,retired,cotton,Incubator,2015-06-01,2015-12-01,https://github.com/apache/incubator-retired-Cotton,,"{""Python"": 215665, ""Shell"": 10421, ""HTML"": 1662}",Python,Python,,,dlester,Dave Lester,benh,Benjamin Hindman,hsaputra,Henry Saputra,,jfarrell,Jake Farrell,,,,,,mysos,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
Crail is a storage platform for sharing performance critical data in distributed data processing jobs at very high speed.,Crail,current,crail,Incubator,2017-11-01,,https://github.com/apache/incubator-Crail,,"{""Java"": 754817, ""Shell"": 18149, ""Dockerfile"": 4020}",Java,Java,,,jhyde,Julian Hyde,lresende,Luciano Resende,felixcheung,Felix Cheung,3,lresende,Luciano Resende,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crunch is a Java library for writing, testing, and running pipelines of MapReduce jobs on Apache Hadoop.",Crunch,graduated,crunch,Incubator,2012-05-26,2013-02-20,https://github.com/apache/Crunch,,"{""Java"": 3093715, ""Scala"": 249740, ""Python"": 9103, ""Shell"": 4439}",Java,Java,,true,acmurthy,Arun Murthy,phunt,Patrick Hunt,tomwhite,Tom White,,phunt,Patrick Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,
cTAKES (clinical Text Analysis and Knowledge Extraction System) is an natural language processing tool for information extraction from electronic medical record clinical free-text.,cTAKES,graduated,ctakes,Incubator,2012-06-11,2013-03-20,https://github.com/apache/cTAKES,,"{""Java"": 9732341, ""TSQL"": 230328, ""Python"": 105745, ""Rich Text Format"": 35475, ""Batchfile"": 35208, ""Groovy"": 31107, ""HTML"": 28978, ""Shell"": 15277, ""Bluespec"": 14109, ""PLSQL"": 4701, ""CSS"": 2826, ""Perl"": 2548, ""XSLT"": 1909, ""Dockerfile"": 1473, ""JavaScript"": 661}",Java,XML,,true,joern,Jörn Kottmann,gsingers,Grant Ingersoll,mattmann,Chris Mattmann,,joern,Jörn Kottmann,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curator - ZooKeeper client wrapper and rich ZooKeeper framework,Curator,graduated,curator,Incubator,2013-03-11,2013-09-01,https://github.com/apache/Curator,,"{""Java"": 2967773, ""Python"": 19703, ""CSS"": 1264}",Java,Java,,true,enis,Enis Söztutar,lresende,Luciano Resende,mahadev,Mahadev Konar,,phunt,Patrick Hunt,phunt,Patrick Hunt,,,,,,,,,,,,,,,,,,,,,,,,,
The CXF project will create a SOA services framework by merges the ObjectWeb Celtix project and the Codehaus XFire project.,CXF,graduated,cxf,Incubator,2006-08-15,2008-04-16,https://github.com/apache/CXF,,"{""Java"": 39034974, ""JavaScript"": 104816, ""XSLT"": 103318, ""Shell"": 60112, ""HTML"": 53454, ""Batchfile"": 36090, ""GAP"": 20125, ""Perl"": 6602, ""Rich Text Format"": 3410, ""Groovy"": 3049, ""Ruby"": 951, ""Dockerfile"": 780, ""CSS"": 367}",Java,Java,,true,jim,Jim Jagielski,jstrachan,James Strachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Daffodil is an implementation of the Data Format Description Language (DFDL) used to convert between fixed format data and XML/JSON.,Daffodil,graduated,daffodil,Incubator,2017-08-27,2021-02-17,https://github.com/apache/Daffodil,,"{""Scala"": 6485625, ""XSLT"": 206047, ""Java"": 154987, ""C"": 136473, ""Shell"": 17477, ""HTML"": 6470, ""Makefile"": 2288, ""Python"": 1723, ""Dockerfile"": 1312}",Scala,Scala,,true,wave,Dave Fisher,cdutz,Christofer Dutz,djkevincr,Kevin Ratnasekera,,johndament,John D. Ament,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DataFu provides a collection of Hadoop MapReduce jobs and functions in higher level languages based on it to perform data analysis. It provides functions for common statistics tasks (e.g. quantiles, sampling), PageRank, stream sessionization, and set and bag operations. DataFu also provides Hadoop jobs for incremental data processing in MapReduce.",DataFu,graduated,datafu,Incubator,2014-01-05,2018-02-21,https://github.com/apache/DataFu,,"{""Java"": 1421804, ""HTML"": 99710, ""Scala"": 84280, ""Python"": 19939, ""Ruby"": 13897, ""PigLatin"": 11381, ""Groovy"": 10701, ""XSLT"": 7116, ""Shell"": 5820, ""Less"": 1596, ""JavaScript"": 863}",Java,Java,,,hashutosh,Ashutosh Chauhan,rvs,Roman Shaposhnik,tdunning,Ted Dunning,,jghoman,Jakob Homan,jghoman,Jakob Homan,,,,,,,,,,,,,,,,,,,,,,,,,
"DataSketches is an open source, high-performance library of stochastic streaming algorithms commonly called ""sketches"" in the data sciences. Sketches are small, stateful programs that process massive data as a stream and can provide approximate answers, with mathematical guarantees, to computationally difficult queries orders-of-magnitude faster than traditional, exact methods.",DataSketches,graduated,datasketches,Incubator,2019-03-30,2020-12-16,https://github.com/apache/DataSketches,,{},,Maven,,true,chenliang613,Liang Chen,kenn,Kenneth Knowles,kamaci,Furkan Kamaci,,jbonofre,Jean-Baptiste Onofré,evansye,Evans Ye,,,,,,wave,Dave Fisher,,,,,,,,,,,,,,,,,,
"Deltacloud, cloud API (REST) and abstraction framework",Deltacloud,graduated,deltacloud,Incubator,2010-05-19,2011-10-26,https://github.com/apache/Deltacloud,,"{""Ruby"": 1707342, ""HTML"": 1028043, ""Java"": 245425, ""CSS"": 181726, ""Gherkin"": 48968, ""JavaScript"": 41561, ""XSLT"": 15203, ""Shell"": 7057, ""Python"": 6685, ""ApacheConf"": 137, ""Batchfile"": 118}",Ruby,YAML,,true,cctrieloff,Carl Trielof,clr,Craig Russell,hogstrom,Matt Hogstrom,,,,dims,Davanum Srinivas,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaSpike is a collection of JSR-299 (CDI) Extensions for building applications on the Java SE and EE platforms.,DeltaSpike,graduated,deltaspike,Incubator,2011-12-07,2013-05-28,https://github.com/apache/DeltaSpike,,"{""Java"": 5174250, ""HTML"": 111269, ""JavaScript"": 26667, ""Shell"": 4483}",Java,Java,,true,struberg,Mark Struberg,gpetracek,Gerhard Petracek,dblevins,David Blevins,,,,mbenson,Matt Benson,,,,,,jim,Jim Jagielski,,,,,,,,,,,,,,,,,,
"Integrated tools for automating downloading, publishing and managing software artifacts, along with tools for manipulating their metadata.",Depot,retired,depot,Incubator,2003-12-04,2004-10-28,,,,,,,,nicolaken,Nicola Ken Barozzi,,,,,,,,,,,,,,Project closed after development stalled.,,,,,,,,,,,,,,,,,,,,
Java relational database,Derby,graduated,derby,DB,2004-08-15,2005-07-18,https://github.com/apache/Derby,,"{""Java"": 43206341, ""TSQL"": 2366395, ""HTML"": 236284, ""Shell"": 211693, ""PLpgSQL"": 150136, ""PLSQL"": 92914, ""SQLPL"": 45437, ""Batchfile"": 15348, ""XSLT"": 15231, ""CSS"": 13737, ""sed"": 6410, ""Pawn"": 3220, ""Gnuplot"": 3125, ""C++"": 1814}",Java,Java,,,coar,Ken Coar,,,,,,,,,,DB Derby,http://db.apache.org/derby/,,,,,,,,,,,,,,,,,,,,,,,
"Apache DeviceMap is a data repository containing device information, images and other relevant information for all sorts of mobile devices, e.g. smartphones and tablets. While the focus is initially on that data, APIs will also be created to use and manage it.",DeviceMap,graduated,devicemap,Incubator,2012-01-03,2014-11-19,,https://svn.apache.org/repos/asf/devicemap,,,,,true,bdelacretaz,Bertrand Delacretaz,kevan,Kevan Miller,asavory,Andrew Savory,,bdelacretaz,Bertrand Delacretaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirectMemory's main purpose is to to act as a second level cache able to store large amounts of data without filling up the Java heap and thus avoiding long garbage collection cycles.,DirectMemory,graduated,directmemory,Incubator,2011-10-05,2012-08-15,https://github.com/apache/DirectMemory,,"{""Java"": 581561, ""CSS"": 95895, ""JavaScript"": 56568, ""XSLT"": 20798, ""AspectJ"": 7706, ""HTML"": 6878, ""Shell"": 2881, ""Batchfile"": 1030}",Java,Java,,true,antelder,Anthony Elder,olamy,Olivier Lamy,sylvain,Sylvain Wallez,,,,twilliams,Tim Williams,,,,,,,,,,,,,,,,,,,,,,,,,
Directory projects.,Directory,graduated,directory,Incubator,2003-10-23,2005-02-23,,,,,,Collection of many projects. Skipping this one,true,noel,Noel J. Bergman,nicolaken,Nicola Ken Barozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DistributedLog is a high-performance replicated log service. It offers durability, replication and strong consistency, which provides a fundamental building block for building reliable distributed systems.",DistributedLog,graduated,distributedlog,Incubator,2016-06-24,2017-07-01,https://github.com/apache/DistributedLog,,"{""Java"": 4214372, ""Shell"": 178775, ""HTML"": 63742, ""Python"": 54456, ""CSS"": 54016, ""Ruby"": 12196, ""Thrift"": 10580, ""Makefile"": 514}",Java,Java,,,fpj,Flavio Junqueira,cnauroth,Chris Nauroth,hsaputra,Henry Saputra,,fpj,Flavio Junqueira,,,BookKeeper DistributedLog,https://bookkeeper.apache.org/distributedlog/,,,,,,,,,,,,,,,,,,,,,,,
"DataLab is a platform for creating self-service, exploratory data science environments in the cloud using best-of-breed data science tools.",DataLab,current,datalab,Incubator,2018-08-20,,https://github.com/apache/incubator-DataLab,,"{""Python"": 2670683, ""Java"": 2354522, ""TypeScript"": 508586, ""HCL"": 229064, ""HTML"": 222297, ""SCSS"": 129870, ""Shell"": 83802, ""Ruby"": 63682, ""Smarty"": 28575, ""CSS"": 19487, ""Groovy"": 17176, ""Dockerfile"": 7091}",Python,Python,,,ptgoetz,P. Taylor Goetz,hsaputra,Henry Saputra,cos,Konstantin I Boudnik,1,ptgoetz,P. Taylor Goetz,kamaci,Furkan Kamaci,,,,dlab,,,,,,,,,,,,,,,,,,,,,
DolphinScheduler is a distributed ETL scheduling engine with powerful DAG visualization interface..,DolphinScheduler,graduated,dolphinscheduler,Incubator,2019-08-29,2021-03-17,https://github.com/apache/DolphinScheduler,,"{""Java"": 5539935, ""Vue"": 1129992, ""Shell"": 61124, ""Python"": 57426, ""PLpgSQL"": 44665, ""SCSS"": 35371, ""Smarty"": 26863, ""Jinja"": 13998, ""Batchfile"": 3147, ""Dockerfile"": 3113}",Java,Java,,true,wusheng,Sheng Wu,shaofengshi,ShaoFeng Shi,chenliang613,Liang Chen,,wusheng,Sheng Wu,kamaci,Furkan KAMACI,,,,,,djkevincr,Kevin Ratnasekera,,,,,,,,,,,,,,,,,,
Doris is a MPP-based interactive SQL data warehousing for reporting and analysis.,Doris,current,doris,Incubator,2018-07-18,,https://github.com/apache/incubator-Doris,,"{""C++"": 12907119, ""Java"": 12886860, ""C"": 536634, ""Thrift"": 247385, ""TypeScript"": 143910, ""Python"": 141378, ""CMake"": 96120, ""Shell"": 61715, ""Scala"": 59337, ""Lex"": 38181, ""Less"": 22132, ""JavaScript"": 19921, ""Ruby"": 14746, ""Makefile"": 6788, ""CSS"": 5561, ""Mustache"": 4979, ""Dockerfile"": 4770, ""Yacc"": 4122, ""HTML"": 2265, ""Assembly"": 1647}",C++,Java,,,ningjiang,Willem Ning Jiang,shaofengshi,Shao Feng Shi,wenming,Ming Wen,2,wave,Dave Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drill is a distributed system for interactive analysis of large-scale datasets, inspired by Google's Dremel.",Drill,graduated,drill,Incubator,2012-08-11,2014-11-19,https://github.com/apache/Drill,,"{""Java"": 32604141, ""C++"": 595697, ""FreeMarker"": 195897, ""Shell"": 117319, ""JavaScript"": 81363, ""C"": 31425, ""CMake"": 25162, ""ANTLR"": 22729, ""CSS"": 15158, ""Batchfile"": 7471, ""Dockerfile"": 7105, ""Python"": 5398}",Java,Java,,true,tdunning,Ted Dunning,gsingers,Grant Ingersoll,isabel,Isabel Drost,,tdunning,Ted Dunning,,,,,,,,,,,,,,,,,,,,,,,,,,,
Droids aims to be an intelligent standalone robot framework that allows to create and extend existing droids (robots).,Droids,retired,droids,"HttpComponents, Lucene",2008-10-09,2015-11-01,,https://svn.apache.org/repos/asf/incubator/droids,,,,,,thorsten,Thorsten Scherler,rfrovarp,Richard Frovarp,,,,,,,,,,,,Retired from incubation.,,,,,,,,,,,,,,,,,,,,
"Druid is a high-performance, column-oriented, distributed data store.",Druid,graduated,druid,Incubator,2018-02-28,2019-12-18,https://github.com/apache/Druid,,"{""Java"": 34682596, ""TypeScript"": 1212391, ""TeX"": 399468, ""SCSS"": 109536, ""Shell"": 81331, ""Python"": 66994, ""JavaScript"": 58733, ""R"": 17002, ""Dockerfile"": 8100, ""Stylus"": 7682, ""ANTLR"": 5360, ""CSS"": 3878, ""Roff"": 3617, ""Smarty"": 3517, ""HTML"": 2536, ""Thrift"": 1003, ""Makefile"": 659, ""PostScript"": 5}",Java,Java,,true,jhyde,Julian Hyde,ptgoetz,P. Taylor Goetz,junrao,Jun Rao,,jhyde,Julian Hyde,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dubbo is a high-performance, lightweight, java based RPC framework.",Dubbo,graduated,dubbo,Incubator,2018-02-16,2019-05-15,https://github.com/apache/Dubbo,,"{""Java"": 9715363, ""Mustache"": 29337, ""Shell"": 15510, ""Lex"": 2076, ""Batchfile"": 1959}",Java,Java,,true,jmclean,Justin Mclean,markt,Mark Thomas,wave,Dave Fisher,,jmclean,Justin Mclean,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apache Eagle is an open source analytics solution for identifying security and performance issues instantly on big data platforms, e.g. Apache Hadoop, Apache Spark. It analyzes data activities, yarn applications, jmx metrics, and daemon logs etc., provides state-of-the-art alert engine to identify security breach, performance issues and shows insights.",Eagle,graduated,eagle,Incubator,2015-10-26,2016-12-21,https://github.com/apache/Eagle,,"{""Java"": 7157892, ""JavaScript"": 398064, ""HTML"": 187180, ""Shell"": 88367, ""Python"": 23939, ""CSS"": 22406, ""TSQL"": 16030, ""Scala"": 10594, ""ANTLR"": 2884}",Java,JavaScript,,true,omalley,Owen O'Malley,hsaputra,Henry Saputra,jhyde,Julian Hyde,,hsaputra,Henry Saputra,ptgoetz,P. Taylor Goetz,,,,,,amareshwari,Amareshwari Sriramdasu,,,,,,,,,,,,,,,,,,
Easyant is a build system based on Apache Ant and Apache Ivy.,EasyAnt,graduated,easyant,Ant,2011-01-31,2013-03-12,,,,,,,,antelder,Anthony Elder,antoine,Antoine Lévy-Lambert,bodewig,Stefan Bodewig,,antoine,Antoine Lévy-Lambert,,,,http://ant.apache.org/easyant/,,,,,,,,,,,,,,,,,,,,,,,
ECharts is a charting and data visualization library written in JavaScript.,ECharts,graduated,echarts,Incubator,2018-01-18,2020-12-16,https://github.com/apache/ECharts,,"{""TypeScript"": 3831784, ""JavaScript"": 403999, ""Smarty"": 2334, ""HTML"": 2228}",TypeScript,JavaScript,,true,kmcgrail,Kevin A. McGrail,wave,Dave Fisher,tedliu,Ted Liu,,kmcgrail,Kevin A. McGrail,wusheng,Sheng Wu,,,,,,,,,,,,,,,,,,,,,,,,,
Edgent is a stream processing programming model and lightweight runtime to execute analytics at devices on the edge or at the gateway. (Formerly known as Quarks),Edgent,retired,edgent,Incubator,2016-02-29,2019-11-20,https://github.com/apache/incubator-retired-Edgent,,"{""Java"": 1891101, ""JavaScript"": 98985, ""Shell"": 56930, ""HTML"": 22485, ""Groovy"": 7123, ""CSS"": 4897}",Java,Java,,,jmclean,Justin Mclean,cdutz,Christofer Dutz,,,,kmarsden,Katherine Marsden,,,,,,quarks,Retired,,,,,,,,,,,,,,,,,,,,
Data persistence component.,Empire-db,graduated,empire-db,Incubator,2008-07-08,2012-01-24,https://github.com/apache/Empire-db,,"{""Java"": 3089571, ""HTML"": 70213, ""JavaScript"": 33569, ""Vue"": 29897, ""CSS"": 16111, ""Batchfile"": 2582, ""Shell"": 1310}",Java,Java,,true,bimargulies,Benson Margulies,tfischer,Thomas Fischer,dashorst,Martijn Dashorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enterprise Social Messaging Experiment (ESME) is a secure and highly scalable microsharing and micromessaging platform that allows people to discover and meet one another and get controlled access to other sources of information, all in a business process context.",ESME,graduated,esme,Incubator,2008-12-02,2010-12-15,https://github.com/apache/ESME,,"{""Scala"": 421228, ""HTML"": 73623, ""CSS"": 39429, ""JavaScript"": 34601}",Scala,Scala,,true,farra,J. Aaron Farr,bdelacretaz,Bertrand Delacrétaz,dkulp,Dan Kulp,,,,gianugo,Gianugo Rabellino,,,,,,sylvain,Sylvain Wallez,,,,,,,,,,,,,,,,,,
"A cross-platform, language- and transport-independent framework for building and consuming network services.",Etch,graduated,etch,Incubator,2008-09-02,2013-01-16,https://github.com/apache/Etch,,"{""Java"": 2280830, ""C#"": 1349250, ""Batchfile"": 24443, ""Vim script"": 13679, ""Shell"": 13368, ""NSIS"": 12543, ""HTML"": 10808, ""XSLT"": 3464}",Java,Java,,true,niclas,Niclas Hedhman,cutting,Doug Cutting,yonik,Yonik Seeley,,,,dashorst,Martijn Dashorst,,,,,,,,,,,,,,,,,,,,,,,,,
EventMesh is a dynamic cloud-native basic service runtime used to decouple the application and middleware layer.,EventMesh,current,eventmesh,Incubator,2021-02-18,,https://github.com/apache/EventMesh,,"{""Java"": 1410069, ""Shell"": 63166, ""Dockerfile"": 2220}",Java,Java,,,fpapon,Francois Papon,junping_du,Junping Du,jbonofre,Jean-Baptiste Onofré,1,vongosling,Von Gosling,jmclean,Justin Mclean,,,,,,vongosling,Von Gosling,,,,,,,,,,,"March,April,May",,,,,,,
"A data processing and management solution for Hadoop designed for data motion, coordination of data pipelines, lifecycle management, and data discovery.",Falcon,graduated,falcon,Incubator,2013-03-27,2014-12-17,https://github.com/apache/Falcon,,"{""Java"": 7588402, ""JavaScript"": 745526, ""HTML"": 224589, ""CSS"": 120650, ""Shell"": 29798, ""Python"": 20153, ""Perl"": 19690, ""XSLT"": 16792, ""PigLatin"": 4826}",Java,Java,,true,gates,Alan Gates,cdouglas,Chris Douglas,ddas,Devaraj Das,,acmurthy,Arun Murthy,omalley,Owen O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation of the OSGi R4 specification. (Formerly known as Oscar),Felix,graduated,felix,Incubator,2005-07-19,2007-04-01,https://github.com/apache/Felix,,{},,Markdown,,true,akarasulu,Alex Karasulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fineract is an open source system for core banking as a platform.,Fineract,graduated,fineract,Incubator,2015-12-15,2017-04-19,https://github.com/apache/Fineract,,"{""Java"": 21081124, ""HTML"": 1693332, ""CSS"": 14574, ""Mustache"": 4158, ""Shell"": 3252, ""Perl"": 3182, ""Dockerfile"": 1853}",Java,Java,,true,rgardler,Ross Gardler,gstein,Greg Stein,rvs,Roman Shaposhnik,,rgardler,Ross Gardler,jim,Jim Jagielski,,,,,,,,,,,,,,,,,,,,,,,,,
Flagon is a software tool usability testing platform,Flagon,current,flagon,Incubator,2016-07-13,,https://github.com/apache/incubator-Flagon,,"{""HTML"": 1517982, ""JavaScript"": 927188, ""Less"": 594198, ""Shell"": 24671, ""Dockerfile"": 23451, ""CSS"": 7976, ""SCSS"": 5331, ""Ruby"": 1390}",HTML,JavaScript,,,lewismc,Lewis John McGibbney,dmeikle,David Meikle,tallison,Tim Allison,1,lewismc,Lewis John McGibbney,kamaci,Furkan Kamaci,,,,senssoft,,,,,,,,,,,,,,,,senssoft,2019-03-29,Senssoft is now Flagon,,,
Application framework for building Flash-based applications.,Flex,graduated,flex,Incubator,2011-12-30,2012-12-19,,https://svn.apache.org/repos/asf/flex,,,,,true,bdelacretaz,Bertrand Delacretaz,greddin,Greg Reddin,akpetteroe,Anne Kathrine Petteroe,,bdelacretaz,Bertrand Delacrétaz,wave,Dave Fisher,,,,,,,,,,,,,,,,,,,,,,,,,
"Flink is an open source system for expressive, declarative, fast, and efficient data analysis. Stratosphere combines the scalability and programming flexibility of distributed MapReduce-like platforms with the efficiency, out-of-core execution, and query optimization capabilities found in parallel databases.  Flink was originally known as Stratosphere when it entered the Incubator.",Flink,graduated,flink,Incubator,2014-04-14,2014-12-17,https://github.com/apache/Flink,,"{""Java"": 82883038, ""Scala"": 10558621, ""Python"": 2371749, ""Shell"": 539644, ""TypeScript"": 288463, ""GAP"": 139514, ""HTML"": 135607, ""Clojure"": 93554, ""FreeMarker"": 86639, ""HiveQL"": 75580, ""Less"": 65918, ""q"": 7406, ""Dockerfile"": 6926, ""Makefile"": 5134, ""Batchfile"": 1863, ""JavaScript"": 1829, ""C"": 847}",Java,Java,,true,srowen,Sean Owen,tdunning,Ted Dunning,omalley,Owen O'Malley,,gates,Alan Gates,hsaputra,Henry Saputra,,,,stratosphere,,hashutosh,Ashutosh Chauhan,,,,,,,,,,,,,,,,,,
"Flume is a distributed, reliable, and available system for efficiently collecting, aggregating, and moving large amounts of log data from many different sources to a centralized data store.",Flume,graduated,flume,Incubator,2011-06-13,2012-06-20,https://github.com/apache/Flume,,"{""Java"": 4897756, ""Rich Text Format"": 65517, ""Shell"": 23808, ""PowerShell"": 16467, ""Python"": 14046, ""Thrift"": 4019, ""Batchfile"": 936, ""HTML"": 865}",Java,Java,,true,niall,Nigel Daley,rgoers,Ralph Goers,phunt,Patrick Hunt,,,,tomwhite,Tom White,,,,,,,,,,,,,,,,,,,,,,,,,
Fluo is a distributed system for incrementally processing large data sets stored in Accumulo.,Fluo,graduated,fluo,Incubator,2016-05-17,2017-07-19,https://github.com/apache/Fluo,,"{""Java"": 1426994, ""Shell"": 37189, ""Thrift"": 990}",Java,Java,,,billie,Billie Rinaldi,drew,Drew Farris,elserj,Josh Elser,,billie,Billie Rinaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FreeMarker is a template engine, i.e. a generic tool to generate text output based on templates. FreeMarker is implemented in Java as a class library for programmers.",FreeMarker,graduated,freemarker,Incubator,2015-07-01,2018-03-21,https://github.com/apache/FreeMarker,,"{""Java"": 5601407, ""FreeMarker"": 389351, ""HTML"": 20859}",Java,Java,,true,jacopoc,Jacopo Cappellato,rgoers,Ralph Goers,wikier,Sergio Fernández,,jacopoc,Jacopo Cappellato,,,,,,,,,,,,,,,,,,,,,,,,,,,
A complete FTP Server based on Mina I/O system.,FtpServer,graduated,ftpserver,Incubator,2003-03-29,2007-12-18,https://github.com/apache/FtpServer,,"{""Java"": 1282143, ""HTML"": 8822, ""Batchfile"": 8322, ""Shell"": 3165}",Java,Java,,,hammant,Paul Hammant,nicolaken,Nicola Ken Barozzi,niclas,Niclas Hedhman,,,,,,,http://mina.apache.org/ftpserver/,,,,,,,,,,,,,,,,,,,,,,,
Gearpump is a reactive real-time streaming engine based on the micro-service Actor model.,Gearpump,retired,gearpump,Incubator,2016-03-08,2018-09-19,https://github.com/apache/incubator-retired-Gearpump,,"{""Scala"": 1752501, ""JavaScript"": 201315, ""Java"": 184587, ""HTML"": 75506, ""Shell"": 30874, ""Python"": 14550, ""Dockerfile"": 7205, ""CSS"": 3375}",Scala,Scala,,,xuefu,Xuefu Zhang,,,,,,apurtell,Andrew Purtell,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,
J2EE Container,Geronimo,graduated,geronimo,Board,2003-08-06,2004-05-26,https://github.com/apache/Geronimo,,"{""Java"": 8975734, ""HTML"": 838469, ""CSS"": 47972, ""Shell"": 32814, ""Batchfile"": 29627, ""XSLT"": 4468, ""JavaScript"": 906}",Java,Java,,true,geirm,Geir Magnusson Jr.,jstrachan,James Strachan,jim,Jim Jagielski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giraph is a large-scale, fault-tolerant, Bulk Synchronous Parallel (BSP)-based graph processing framework.",Giraph,graduated,giraph,Incubator,2011-08-01,2012-05-16,https://github.com/apache/Giraph,,"{""Java"": 6196888, ""JavaScript"": 113085, ""Shell"": 52603, ""HTML"": 13020, ""CSS"": 11661, ""Ruby"": 1973, ""Python"": 1706}",Java,Java,,true,omalley,Owen O'Malley,mattmann,Chris Mattmann,gates,Alan Gates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
